frame,time stamp,Best Nmin(iou>=0.3),Best Nmin(iou>=0.5),vel_slot 0,vel_slot 1,vel_slot 2,vel_slot 3,vel_slot 4,vel_slot 5,moving_obj_percentage,current_scan_points,past_scan_points,GT min velocity,f1_score(iou>=0.3)->Nmin=2,f1_score(iou>=0.3)->Nmin=3,f1_score(iou>=0.3)->Nmin=4,f1_score(iou>=0.3)->Nmin=5,f1_score(iou>=0.3)->Nmin=6,f1_score(iou>=0.3)->Nmin=7,f1_score(iou>=0.3)->Nmin=8,f1_score(iou>=0.3)->Nmin=9,f1_score(iou>=0.3)->Nmin=10,f1_score(iou>=0.5)->Nmin=2,f1_score(iou>=0.5)->Nmin=3,f1_score(iou>=0.5)->Nmin=4,f1_score(iou>=0.5)->Nmin=5,f1_score(iou>=0.5)->Nmin=6,f1_score(iou>=0.5)->Nmin=7,f1_score(iou>=0.5)->Nmin=8,f1_score(iou>=0.5)->Nmin=9,f1_score(iou>=0.5)->Nmin=10
1,12951184.810,2,2,375,0,0,0,0,0,0.061,375,0,0.011,0.588,0.400,0.308,0.167,0.167,0.167,0.167,0.167,0.167,0.471,0.267,0.154,0.167,0.167,0.167,0.167,0.167,0.167
2,12951188.713,2,2,380,0,0,0,0,0,0.066,380,375,0.188,0.727,0.727,0.600,0.444,0.444,0.444,0.250,0.000,0.000,0.727,0.727,0.600,0.444,0.444,0.444,0.250,0.000,0.000
3,12951188.786,2,2,366,0,0,0,0,0,0.052,366,380,0.153,0.833,0.833,0.727,0.727,0.727,0.727,0.727,0.600,0.444,0.833,0.833,0.727,0.727,0.727,0.727,0.727,0.600,0.444
4,12951188.860,2,2,359,0,0,0,0,0,0.061,359,366,0.523,0.909,0.909,0.909,0.800,0.800,0.800,0.667,0.500,0.286,0.909,0.909,0.909,0.800,0.800,0.800,0.667,0.500,0.286
5,12951188.932,2,2,368,0,0,0,0,0,0.065,368,359,0.206,0.833,0.833,0.833,0.727,0.727,0.600,0.600,0.600,0.444,0.833,0.833,0.833,0.727,0.727,0.600,0.600,0.600,0.444
6,12951189.006,2,2,376,0,0,0,0,0,0.061,376,368,0.212,0.769,0.769,0.667,0.545,0.545,0.545,0.600,0.600,0.600,0.769,0.769,0.667,0.545,0.545,0.545,0.600,0.600,0.600
7,12951189.081,2,2,380,0,0,0,0,0,0.050,380,376,0.153,0.727,0.727,0.727,0.600,0.600,0.600,0.600,0.600,0.444,0.727,0.727,0.727,0.600,0.600,0.600,0.600,0.600,0.444
8,12951189.153,3,3,364,0,0,0,0,0,0.074,364,380,0.229,0.769,0.833,0.727,0.727,0.727,0.727,0.600,0.444,0.250,0.769,0.833,0.727,0.727,0.727,0.727,0.600,0.444,0.250
9,12951189.226,2,2,369,0,0,0,0,0,0.068,369,364,0.200,0.769,0.769,0.769,0.667,0.727,0.600,0.600,0.600,0.250,0.769,0.769,0.769,0.667,0.727,0.600,0.600,0.600,0.250
10,12951189.301,2,2,376,0,0,0,0,0,0.061,376,369,0.224,0.769,0.769,0.769,0.769,0.545,0.545,0.545,0.222,0.222,0.769,0.769,0.769,0.769,0.545,0.545,0.545,0.222,0.222
11,12951189.374,2,2,388,0,0,0,0,0,0.059,388,376,0.553,0.909,0.909,0.909,0.800,0.667,0.667,0.667,0.286,0.286,0.909,0.909,0.909,0.800,0.667,0.667,0.667,0.286,0.286
12,12951189.448,2,2,390,0,0,0,0,0,0.082,390,388,0.645,0.833,0.833,0.833,0.727,0.727,0.727,0.600,0.444,0.444,0.833,0.833,0.833,0.727,0.727,0.727,0.600,0.444,0.444
13,12951189.521,2,2,365,0,0,0,0,0,0.077,365,390,0.185,0.833,0.833,0.833,0.833,0.600,0.600,0.600,0.600,0.600,0.833,0.833,0.833,0.833,0.600,0.600,0.600,0.600,0.600
14,12951189.593,2,2,386,0,0,0,0,0,0.065,386,365,0.202,0.769,0.769,0.769,0.769,0.545,0.545,0.545,0.545,0.545,0.769,0.769,0.769,0.769,0.545,0.545,0.545,0.545,0.545
15,12951189.668,2,2,379,0,0,0,0,0,0.055,379,386,0.145,0.800,0.800,0.800,0.800,0.800,0.800,0.667,0.667,0.667,0.800,0.800,0.800,0.800,0.800,0.800,0.667,0.667,0.667
16,12951189.742,2,2,368,0,0,0,0,0,0.052,368,379,0.396,0.800,0.800,0.800,0.800,0.800,0.800,0.667,0.667,0.500,0.800,0.800,0.800,0.800,0.800,0.800,0.667,0.667,0.500
17,12951189.813,2,2,363,0,0,0,0,0,0.047,363,368,0.659,0.800,0.800,0.667,0.667,0.500,0.500,0.500,0.500,0.500,0.800,0.800,0.667,0.667,0.500,0.500,0.500,0.500,0.500
18,12951189.888,2,2,373,0,0,0,0,0,0.075,373,363,0.565,0.833,0.833,0.833,0.727,0.600,0.600,0.444,0.444,0.444,0.833,0.833,0.833,0.727,0.600,0.600,0.444,0.444,0.444
19,12951189.964,2,2,357,0,0,0,0,0,0.056,357,373,0.470,0.923,0.923,0.833,0.833,0.833,0.600,0.600,0.444,0.500,0.923,0.923,0.833,0.833,0.833,0.600,0.600,0.444,0.500
20,12951190.036,2,2,360,0,0,0,0,0,0.056,360,357,0.584,0.769,0.769,0.769,0.667,0.545,0.545,0.400,0.250,0.250,0.769,0.769,0.769,0.667,0.545,0.545,0.400,0.250,0.250
21,12951190.109,2,2,375,0,0,0,0,0,0.040,375,360,0.428,0.909,0.909,0.909,0.667,0.667,0.500,0.500,0.500,0.500,0.909,0.909,0.909,0.667,0.667,0.500,0.500,0.500,0.500
22,12951190.185,5,5,360,0,0,0,0,0,0.050,360,375,0.182,0.714,0.714,0.714,0.769,0.400,0.400,0.400,0.400,0.000,0.714,0.714,0.714,0.769,0.400,0.400,0.400,0.400,0.000
23,12951190.259,2,2,381,0,0,0,0,0,0.058,381,360,0.393,0.833,0.833,0.833,0.833,0.727,0.600,0.250,0.250,0.250,0.833,0.833,0.833,0.833,0.727,0.600,0.250,0.250,0.250
24,12951190.333,2,2,373,0,0,0,0,0,0.048,373,381,0.462,0.800,0.800,0.800,0.800,0.667,0.500,0.500,0.500,0.286,0.800,0.800,0.800,0.800,0.667,0.500,0.500,0.500,0.286
25,12951190.407,2,2,377,0,0,0,0,0,0.066,377,373,0.156,0.667,0.667,0.667,0.667,0.545,0.545,0.400,0.400,0.400,0.500,0.500,0.500,0.500,0.364,0.364,0.200,0.200,0.400
26,12951190.477,2,2,374,0,0,0,0,0,0.070,374,377,0.164,0.769,0.769,0.769,0.769,0.667,0.545,0.400,0.400,0.400,0.769,0.769,0.769,0.769,0.667,0.545,0.400,0.400,0.400
27,12951190.551,2,2,357,0,0,0,0,0,0.039,357,374,0.171,0.545,0.545,0.545,0.545,0.545,0.545,0.400,0.400,0.400,0.545,0.545,0.545,0.545,0.545,0.545,0.400,0.400,0.400
28,12951190.626,2,2,363,0,0,0,0,0,0.039,363,357,0.030,0.600,0.600,0.600,0.444,0.444,0.444,0.444,0.250,0.250,0.600,0.600,0.600,0.444,0.444,0.444,0.444,0.250,0.250
29,12951190.699,2,2,372,0,0,0,0,0,0.051,372,363,0.170,0.769,0.769,0.545,0.545,0.545,0.400,0.400,0.400,0.400,0.769,0.769,0.545,0.545,0.545,0.400,0.400,0.400,0.400
30,12951190.771,2,2,370,0,0,0,0,0,0.046,370,372,0.381,0.889,0.889,0.889,0.750,0.750,0.571,0.571,0.333,0.333,0.889,0.889,0.889,0.750,0.750,0.571,0.571,0.333,0.333
31,12951190.845,2,2,374,0,0,0,0,0,0.051,374,370,0.183,0.667,0.545,0.400,0.400,0.400,0.400,0.400,0.400,0.222,0.667,0.545,0.400,0.400,0.400,0.400,0.400,0.400,0.222
32,12951190.919,2,2,364,0,0,0,0,0,0.058,364,374,0.172,0.769,0.769,0.545,0.400,0.400,0.400,0.400,0.400,0.400,0.769,0.769,0.545,0.400,0.400,0.400,0.400,0.400,0.400
33,12951190.992,5,5,367,0,0,0,0,0,0.052,367,364,0.165,0.714,0.714,0.714,0.769,0.545,0.444,0.250,0.250,0.250,0.714,0.714,0.714,0.769,0.545,0.444,0.250,0.250,0.250
34,12951191.065,2,2,360,0,0,0,0,0,0.042,360,367,0.101,0.727,0.727,0.727,0.727,0.600,0.600,0.250,0.000,0.000,0.727,0.727,0.727,0.727,0.600,0.600,0.250,0.000,0.000
35,12951191.139,2,2,363,0,0,0,0,0,0.047,363,360,0.172,0.545,0.545,0.545,0.545,0.400,0.400,0.400,0.400,0.222,0.545,0.545,0.545,0.545,0.400,0.400,0.400,0.400,0.222
36,12951191.212,2,2,367,0,0,0,0,0,0.068,367,363,0.124,0.833,0.833,0.833,0.444,0.444,0.444,0.250,0.250,0.250,0.833,0.833,0.833,0.444,0.444,0.444,0.250,0.250,0.250
37,12951191.285,2,2,356,0,0,0,0,0,0.048,356,367,0.212,0.545,0.545,0.545,0.400,0.400,0.444,0.250,0.250,0.250,0.545,0.545,0.545,0.400,0.400,0.444,0.250,0.250,0.250
38,12951191.357,2,2,368,0,0,0,0,0,0.057,368,356,0.197,0.769,0.769,0.545,0.545,0.545,0.222,0.222,0.222,0.222,0.769,0.769,0.545,0.545,0.545,0.222,0.222,0.222,0.222
39,12951191.432,2,2,359,0,0,0,0,0,0.050,359,368,0.174,0.833,0.833,0.727,0.444,0.444,0.444,0.250,0.250,0.250,0.833,0.833,0.727,0.444,0.444,0.444,0.250,0.250,0.250
40,12951191.506,2,2,364,0,0,0,0,0,0.055,364,359,0.179,0.727,0.727,0.727,0.444,0.444,0.444,0.444,0.250,0.250,0.727,0.727,0.727,0.444,0.444,0.444,0.444,0.250,0.250
41,12951191.578,2,2,360,0,0,0,0,0,0.064,360,364,0.179,0.769,0.667,0.667,0.545,0.545,0.545,0.545,0.400,0.222,0.769,0.667,0.667,0.545,0.545,0.545,0.545,0.400,0.222
42,12951191.650,2,2,364,0,0,0,0,0,0.044,364,360,0.192,0.727,0.727,0.600,0.444,0.444,0.444,0.444,0.444,0.250,0.727,0.727,0.600,0.444,0.444,0.444,0.444,0.444,0.250
43,12951191.722,2,2,363,0,0,0,0,0,0.041,363,364,0.205,0.600,0.600,0.600,0.444,0.250,0.250,0.250,0.000,0.000,0.600,0.600,0.600,0.444,0.250,0.250,0.250,0.000,0.000
44,12951191.796,2,2,372,0,0,0,0,0,0.065,372,363,0.234,0.727,0.727,0.600,0.600,0.444,0.444,0.444,0.250,0.250,0.727,0.727,0.600,0.600,0.444,0.444,0.444,0.250,0.250
45,12951191.942,2,2,374,0,0,0,0,0,0.056,374,372,0.185,0.833,0.833,0.833,0.833,0.600,0.444,0.444,0.444,0.444,0.833,0.833,0.833,0.833,0.600,0.444,0.444,0.444,0.444
46,12951192.014,2,2,376,0,0,0,0,0,0.064,376,374,0.197,0.667,0.667,0.667,0.667,0.545,0.545,0.545,0.400,0.222,0.667,0.667,0.667,0.667,0.545,0.545,0.545,0.400,0.222
47,12951192.088,2,2,367,0,0,0,0,0,0.054,367,376,0.668,0.727,0.727,0.727,0.600,0.600,0.444,0.250,0.250,0.250,0.727,0.727,0.727,0.600,0.600,0.444,0.250,0.250,0.250
48,12951192.162,2,2,371,0,0,0,0,0,0.049,371,367,0.211,0.444,0.444,0.444,0.444,0.250,0.250,0.250,0.250,0.250,0.444,0.444,0.444,0.444,0.250,0.250,0.250,0.250,0.250
