File Name,Total Frames,Total Objects,Good Objects,Multiple Objects,No Objects,V measure score,Homogeneity,H(C|K),H(C),Completeness,H(K|C),H(K)
Ave (303 bags),11424,73535,37605,15329,20601,0.8226361169467791,0.8462678571428572,0.2656869747899157,1.4591588760504202,0.8524778536414571,0.23264355742296924,1.4261307773109244
log4_1531885862549942_scene-0019.csv,38,157,101,19,37,0.7615,0.787921052631579,0.30355263157894735,1.0001842105263157,0.852736842105263,0.1791578947368421,0.8757894736842103
log4_1531885907648241_scene-0020.csv,34,71,35,20,16,0.790264705882353,0.9338529411764706,0.06255882352941178,0.5559705882352941,0.7548529411764706,0.24147058823529413,0.734970588235294
log4_1531885977549637_scene-0021.csv,37,151,94,24,33,0.8479729729729731,0.8848648648648649,0.15851351351351353,1.2363513513513513,0.8397297297297298,0.19821621621621627,1.276027027027027
log4_1531885998548873_scene-0022.csv,39,98,58,7,33,0.809,0.8023846153846154,0.22907692307692307,0.7231025641025642,0.9346923076923078,0.06551282051282051,0.5595641025641027
log4_1531886021549259_scene-0023.csv,38,52,30,17,5,0.7174736842105263,0.9923157894736842,0.007289473684210527,0.2566842105263158,0.6753421052631579,0.3957368421052632,0.6451315789473685
log4_1531886044547412_scene-0024.csv,40,57,30,6,21,0.7641500000000001,0.810875,0.136025,0.38817499999999994,0.9,0.06965,0.3218
log4_1531886069549530_scene-0025.csv,39,48,28,4,16,0.9072307692307694,0.9774102564102564,0.03151282051282051,0.21648717948717947,0.9205128205128205,0.06253846153846154,0.24751282051282048
log4_1531886089648560_scene-0026.csv,38,74,42,8,24,0.8855263157894736,0.8883157894736842,0.11992105263157896,0.5158684210526318,0.9442105263157895,0.06486842105263159,0.4608421052631579
log4_1531886118549020_scene-0027.csv,40,63,47,2,14,0.971875,0.9611000000000001,0.052875000000000005,0.360225,0.990625,0.010450000000000001,0.31785
log4_1531886138648560_scene-0028.csv,39,70,50,4,16,0.8598205128205129,0.8700512820512821,0.1264871794871795,0.510102564102564,0.9535384615384616,0.04930769230769231,0.432948717948718
log4_1531886158547385_scene-0029.csv,39,80,50,4,26,0.7947692307692308,0.8042564102564103,0.1722564102564102,0.6053846153846155,0.9600512820512821,0.04602564102564102,0.4791282051282052
log4_1531886197549336_scene-0030.csv,35,32,11,5,16,0.8450571428571428,0.9830285714285714,0.023542857142857143,0.09682857142857142,0.8571428571428571,0.10731428571428572,0.18059999999999998
log4_1531886222549204_scene-0031.csv,39,92,69,17,6,0.8772051282051282,0.9032820512820513,0.122,0.5677692307692308,0.9136410256410258,0.1004102564102564,0.5461025641025641
log4_1531886242549231_scene-0032.csv,36,8,6,0,2,1.0,1.0,0.0,0.0,1.0,0.0,0.0
log4_1531886322549923_scene-0033.csv,37,45,14,22,9,0.4919189189189189,1.0,0.0,0.13416216216216217,0.47994594594594603,0.3975135135135135,0.5316756756756759
log4_1531886382648377_scene-0034.csv,37,32,11,19,2,0.5828108108108108,0.972945945945946,0.015837837837837838,0.09978378378378377,0.5625405405405406,0.3340000000000001,0.41794594594594603
log5_1532400183697633_scene-0035.csv,38,194,106,35,53,0.7520789473684212,0.8131842105263157,0.3172368421052632,1.351052631578948,0.7977105263157893,0.30905263157894736,1.3428684210526318
