File Name,F1-score(IOU>=0.3),Precision,Recall,TP,FP,FN,F1-score(IOU>=0.5),Precision,Recall,TP,FP,FN
Val (28 bags),0.5081221917953899,0.5561310597683757,0.4677435144395497,9556,7627,10874,0.4805253502778295,0.5259267881045219,0.44233969652471855,9037,8146,11393
Train (3 bags),0.5100477085441666,0.3928730512249443,0.7268232385661311,1764,2726,663,0.47506144282203266,0.36592427616926504,0.676967449526164,1643,2847,784
sequence_107_Eps-1.5_Nmin-2,0.5991836734693877,0.552710843373494,0.6541889483065954,367,297,194,0.5404081632653062,0.49849397590361444,0.5900178253119429,331,333,230
sequence_111_Eps-1.5_Nmin-2,0.42328042328042326,0.29411764705882354,0.7547169811320755,160,384,52,0.3888888888888889,0.2702205882352941,0.6933962264150944,147,397,65
sequence_122_Eps-1.5_Nmin-2,0.7473684210526316,0.6283185840707964,0.922077922077922,71,42,6,0.6947368421052632,0.584070796460177,0.8571428571428571,66,47,11
sequence_130_Eps-1.5_Nmin-2,0.5506985128436233,0.5450490633363069,0.5564663023679417,611,510,487,0.5263632266786841,0.5209634255129348,0.5318761384335154,584,537,514
sequence_135_Eps-1.5_Nmin-2,0.22697368421052633,0.5348837209302325,0.1440501043841336,69,60,410,0.2236842105263158,0.5271317829457365,0.1419624217118998,68,61,411
sequence_138_Eps-1.5_Nmin-2,0.5288288288288289,0.5817641228939544,0.4847233691164327,1174,844,1248,0.5099099099099099,0.5609514370664024,0.467382328654005,1132,886,1290
sequence_147_Eps-1.5_Nmin-2,0.6075675675675676,0.5090579710144928,0.7533512064343163,843,813,276,0.5463063063063063,0.4577294685990338,0.677390527256479,758,898,361
sequence_148_Eps-1.5_Nmin-2,0.6211806585582913,0.6811971372804164,0.5708833151581243,1047,490,787,0.5956689409670721,0.653220559531555,0.5474372955288986,1004,533,830
sequence_153_Eps-1.5_Nmin-2,0.7525987525987526,0.8872549019607843,0.6534296028880866,181,23,96,0.735966735966736,0.8676470588235294,0.6389891696750902,177,27,100
sequence_155_Eps-1.5_Nmin-2,0.7296482412060301,0.8642857142857143,0.6313043478260869,363,57,212,0.7175879396984924,0.85,0.6208695652173913,357,63,218
sequence_5_Eps-1.5_Nmin-2,0.3752969121140142,0.683982683982684,0.25859247135842883,158,73,453,0.37292161520190026,0.6796536796536796,0.2569558101472995,157,74,454
