frame,f1_score(iou>=0.3),precision,recall,TP,FP,FN,f1_score(iou>=0.5),precision,recall,TP,FP,FN
1,0,-nan,0,0,0,5,0,-nan,0,0,0,5
2,0,-nan,0,0,0,5,0,-nan,0,0,0,5
3,0.286,1,0.167,1,0,5,0.286,1,0.167,1,0,5
4,0.286,1,0.167,1,0,5,0.286,1,0.167,1,0,5
5,0,-nan,0,0,0,6,0,-nan,0,0,0,6
6,0,-nan,0,0,0,4,0,-nan,0,0,0,4
7,0,-nan,0,0,0,5,0,-nan,0,0,0,5
8,0,-nan,0,0,0,4,0,-nan,0,0,0,4
9,0,-nan,0,0,0,6,0,-nan,0,0,0,6
10,0,-nan,0,0,0,6,0,-nan,0,0,0,6
11,0.286,1,0.167,1,0,5,0.286,1,0.167,1,0,5
12,0,-nan,0,0,0,6,0,-nan,0,0,0,6
13,0,-nan,0,0,0,6,0,-nan,0,0,0,6
14,0,-nan,0,0,0,6,0,-nan,0,0,0,6
15,0,-nan,0,0,0,6,0,-nan,0,0,0,6
16,0,-nan,0,0,0,6,0,-nan,0,0,0,6
17,0,-nan,0,0,0,5,0,-nan,0,0,0,5
18,0,-nan,0,0,0,5,0,-nan,0,0,0,5
19,0,-nan,0,0,0,6,0,-nan,0,0,0,6
20,0,-nan,0,0,0,6,0,-nan,0,0,0,6
21,0,-nan,0,0,0,7,0,-nan,0,0,0,7
22,0,-nan,0,0,0,6,0,-nan,0,0,0,6
23,0,-nan,0,0,0,6,0,-nan,0,0,0,6
24,0,-nan,0,0,0,6,0,-nan,0,0,0,6
25,0,-nan,0,0,0,6,0,-nan,0,0,0,6
26,0,-nan,0,0,0,7,0,-nan,0,0,0,7
27,0,-nan,0,0,0,7,0,-nan,0,0,0,7
28,0,-nan,0,0,0,7,0,-nan,0,0,0,7
29,0.25,1,0.143,1,0,6,0.25,1,0.143,1,0,6
30,0,-nan,0,0,0,5,0,-nan,0,0,0,5
31,0.286,1,0.167,1,0,5,0.286,1,0.167,1,0,5
32,0,-nan,0,0,0,8,0,-nan,0,0,0,8
33,0,-nan,0,0,0,7,0,-nan,0,0,0,7
34,0,-nan,0,0,0,8,0,-nan,0,0,0,8
35,0.222,1,0.125,1,0,7,0.222,1,0.125,1,0,7
36,0.222,1,0.125,1,0,7,0.222,1,0.125,1,0,7
37,0.25,0.5,0.167,1,1,5,0.25,0.5,0.167,1,1,5
38,0.6,1,0.429,3,0,4,0.6,1,0.429,3,0,4
39,0.4,1,0.25,2,0,6,0.4,1,0.25,2,0,6
40,0.222,1,0.125,1,0,7,0.222,1,0.125,1,0,7
41,0,-nan,0,0,0,8,0,-nan,0,0,0,8
42,0,-nan,0,0,0,7,0,-nan,0,0,0,7
43,0,-nan,0,0,0,7,0,-nan,0,0,0,7
44,0.222,1,0.125,1,0,7,0.222,1,0.125,1,0,7
45,0,0,0,0,1,8,0,0,0,0,1,8
46,0,0,0,0,1,7,0,0,0,0,1,7
47,0,-nan,0,0,0,6,0,-nan,0,0,0,6
48,0,-nan,0,0,0,7,0,-nan,0,0,0,7
49,0,-nan,0,0,0,7,0,-nan,0,0,0,7
50,0,0,0,0,1,7,0,0,0,0,1,7
51,0,-nan,0,0,0,5,0,-nan,0,0,0,5
52,0,-nan,0,0,0,7,0,-nan,0,0,0,7
53,0,-nan,0,0,0,5,0,-nan,0,0,0,5
54,0,-nan,0,0,0,7,0,-nan,0,0,0,7
55,0,-nan,0,0,0,7,0,-nan,0,0,0,7
56,0,-nan,0,0,0,7,0,-nan,0,0,0,7
57,0,-nan,0,0,0,7,0,-nan,0,0,0,7
58,0.25,1,0.143,1,0,6,0.25,1,0.143,1,0,6
