frame,obj num,correct-obj num,over-obj num,under-obj num,no-obj num,V measure score (beta=1.00),Homogeneity,H(C|K),H(C),Completeness,H(K|C),H(K),Scene Num,Ave vel
1,2,2,0,0,0,1.000,1.000,0.000,0.562,1.000,0.000,0.562,0,0
2,2,2,0,0,0,1.000,1.000,0.000,0.562,1.000,0.000,0.562,0,0
3,1,1,0,0,0,1.000,1.000,0.000,0.000,1.000,0.000,0.000,0,0
4,3,3,0,0,0,1.000,1.000,0.000,0.900,1.000,0.000,0.900,0,0
5,3,3,0,0,0,1.000,1.000,0.000,1.011,1.000,0.000,1.011,0,0
6,3,3,0,0,0,1.000,1.000,0.000,0.898,1.000,0.000,0.898,0,0
7,3,2,1,0,0,0.912,1.000,0.000,0.900,0.839,0.173,1.074,0,0
8,5,4,1,0,0,0.964,1.000,0.000,1.418,0.930,0.107,1.525,0,0
9,5,4,1,0,0,0.959,1.000,0.000,1.468,0.921,0.126,1.594,0,0
10,4,3,1,0,0,0.942,1.000,0.000,1.286,0.890,0.159,1.445,0,0
11,4,4,0,0,0,1.000,1.000,0.000,0.886,1.000,0.000,0.886,0,0
12,3,2,1,0,0,0.915,1.000,0.000,1.030,0.844,0.191,1.221,0,0
13,4,3,1,0,0,0.954,1.000,0.000,1.029,0.912,0.099,1.128,0,0
14,4,3,1,0,0,0.931,1.000,0.000,1.075,0.871,0.159,1.234,0,0
15,4,3,1,0,0,0.954,1.000,0.000,1.199,0.912,0.116,1.314,0,0
16,4,3,1,0,0,0.895,1.000,0.000,1.272,0.811,0.297,1.569,0,0
17,4,3,1,0,0,0.931,1.000,0.000,1.252,0.871,0.185,1.437,0,0
18,5,4,1,0,0,0.940,1.000,0.000,1.367,0.887,0.174,1.540,0,0
19,5,4,1,0,0,0.955,1.000,0.000,1.438,0.913,0.136,1.574,0,0
20,5,3,2,0,0,0.916,1.000,0.000,1.507,0.845,0.277,1.784,0,0
21,6,5,1,0,0,0.851,1.000,0.000,1.583,0.740,0.555,2.138,0,0
22,4,2,2,0,0,0.783,1.000,0.000,1.215,0.643,0.674,1.889,0,0
23,4,3,1,0,0,0.816,1.000,0.000,1.168,0.689,0.527,1.696,0,0
24,6,5,1,0,0,0.897,1.000,0.000,1.586,0.813,0.365,1.951,0,0
25,4,2,2,0,0,0.732,1.000,0.000,1.168,0.577,0.857,2.025,0,0
26,5,4,1,0,0,0.837,1.000,0.000,1.424,0.720,0.555,1.979,0,0
27,3,2,1,0,0,0.852,1.000,0.000,0.900,0.742,0.313,1.213,0,0
28,5,3,2,0,0,0.909,1.000,0.000,1.490,0.834,0.297,1.787,0,0
29,4,2,2,0,0,0.793,1.000,0.000,1.132,0.656,0.593,1.725,0,0
30,3,2,1,0,0,0.865,1.000,0.000,0.892,0.762,0.279,1.171,0,0
31,5,4,1,0,0,0.893,1.000,0.000,1.292,0.807,0.308,1.600,0,0
32,4,2,2,0,0,0.869,1.000,0.000,1.290,0.768,0.390,1.680,0,0
